LH No.,Subject:,Date,Tags,Description
75-1540,Floods,1972,1972 flood damage; flooded street; automobiles submerged; commercial buildings; black and white photograph,"This black and white photograph documents flood damage in Corning, NY from 1972, showing submerged and damaged automobiles in a flooded street with commercial buildings and signage visible in the background, including a ""Cars Trucks Open"" sign."
75-1541,Floods,1972,flooded street; mobil gas station; utility poles; black and white photograph; 1972 flood,"A black and white photograph showing a severely flooded street in Corning, NY during the 1972 flood, with a Mobil gas station and surrounding buildings partially submerged in water, utility poles visible in the background, and the floodwaters viewed from an elevated structure."
75-1542,Floods,1972,flood damage; residential house; structural damage; black and white photograph; 1972,"A black and white photograph showing a residential house in Corning, NY with severe structural damage from the 1972 flood, including a collapsed roof and displaced roofing materials, surrounded by evergreen shrubs and debris."
75-1543,Floods,1972,residential architecture; mid-century modern house; black and white photograph; single-family home; architectural documentation,"A black and white photograph of a mid-century modern residential house with a distinctive peaked roof, horizontal lines, decorative lattice panels flanking the entrance, and manicured landscaping, documented in the Corning, NY local history archive."
75-1544,Floods,1972,flooded river; bridge damage; 1972 flood; structural collapse; black and white photograph,"This black and white photograph documents the structural damage to a bridge spanning a flooded river in Corning, NY during the 1972 flood, with the bridge's steel framework visibly compromised and water inundating the area below, while buildings are visible in the background."
75-1545,Floods,1972,flooded river; steel bridges; flood protection sign; 1972 flood; black and white photograph,"This black and white photograph documents the 1972 flood in Corning, NY, showing multiple steel bridges partially submerged in floodwaters with a U.S. Army Corps of Engineers flood protection sign visible in the foreground."
75-1546,Floods,1972,flood damage; McDonald's; debris; 1972 flood; black and white photograph,"This black and white photograph documents flood damage in Corning, NY from 1972, showing a McDonald's restaurant sign and surrounding buildings buried under sand and debris, with a person standing in the devastated landscape."
75-1548,Automobiles,,early automobile; residential street; bare trees; wooden houses; black and white photograph,"A black and white photograph showing an early 1900s open-air automobile parked on a residential street in Corning, NY, with wooden houses and bare trees visible in the background."
75-1557,"Deluxe Dairy Products, Inc. ",c. 1940s,deluxe ice cream shop; 1940s automobiles; downtown storefront; black and white photograph; corning ny,"A black and white photograph from circa 1940s showing the Deluxe ice cream shop storefront in downtown Corning, NY, with period automobiles parked on the street and the Ward Williams store visible adjacent to it."
75-1559,Airplanes,,early aircraft; biplane; cockpit; pilots; black and white photograph,"A black and white photograph showing an early biplane with two visible pilots in the open cockpit, featuring struts, bracing wires, and canvas wings characteristic of early 20th-century aircraft design."
75-1561,"Bridge Street, Corning, N.Y. (Duplicate photo to photo 75-1033)",,downtown corning; bridge street; pulteney street; historic storefronts; black and white photograph,"This black and white photograph shows the junction of Pulteney and Bridge Streets in Corning, N.Y., featuring multi-story commercial buildings with storefronts at street level, streetcar tracks, a traffic sign reading ""SLOW"" and ""TURN RIGHT,"" and hills visible in the background."
75-1565,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; railroad disaster; 1912; debris; crowd gathering,"A black and white photograph documenting the Delaware, Lackawanna and Western Railroad trainwreck in Gibson, N.Y. in 1912, showing a derailed passenger car surrounded by extensive wreckage and a large crowd of onlookers gathered at the disaster site."
75-1566,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; derailment; railroad cars; debris; black and white photograph,"A black and white photograph documenting the 1912 Delaware, Lackawanna and Western Railroad trainwreck near Gibson, N.Y., showing severely damaged and overturned railroad cars with twisted metal wreckage scattered across the tracks."
75-1567,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; railroad disaster; 1912; damaged locomotive; spectators; black and white photograph,"This black and white photograph documents the 1912 Delaware, Lackawanna and Western Railroad trainwreck in Gibson, N.Y., showing a severely damaged and derailed locomotive surrounded by onlookers and wreckage, with residential buildings visible in the background."
75-1568,"Delaware, Lackawanna and Western Railroad Trainwreck, Gibson, N.Y. ",1912,train wreck; delaware lackawanna western railroad; gibson ny; 1912; black and white photograph,"This black and white photograph documents the Delaware, Lackawanna and Western Railroad trainwreck in Gibson, N.Y. in 1912, showing derailed and overturned railroad cars with smoke rising from the wreckage, spectators gathered at the scene, a utility pole visible on the left, and forested hills in the background."
75-1579,"City Pump House, Corning, N.Y. ",,city pump house; corning new york; black and white photograph; industrial infrastructure; early 20th century,"A black and white photograph of the City Pump House in Corning, NY, showing the industrial structure with visible utility poles, fencing, and surrounding buildings nestled in a valley landscape with bare trees."
75-1582,"Denison Park, Corning, N.Y. ",,denison park; corning ny; pond; bare trees; black and white photograph,"A black and white photograph of Denison Park in Corning, New York, showing a pond or water feature with bare trees along its banks, rolling hills in the background, and buildings visible on the right side of the image."
75-1583,"Erie Railroad, Corning, N.Y. ",,,
75-1584,"Bridge Street Bridge, Corning, N.Y. ",,bridge street bridge; corning new york; steel truss bridge; river; black and white photograph,"A black and white photograph of the Bridge Street Bridge in Corning, New York, showing a steel truss bridge spanning a river with concrete supports, surrounded by misty hills and vegetation in the foreground."
75-1585,"Denison Park, Corning, N.Y. ",,denison park; corning ny; park landscape; mature trees; black and white photograph,"A black and white photograph of Denison Park in Corning, New York, showing a tree-lined park setting with several visitors scattered throughout the grounds, featuring large mature trees creating a canopy over the open lawn area."
75-1586,"Erie Railroad, Corning, N.Y. ",,,
75-1587,Corning Glass Works Floods,1972,flooded industrial facility; corning glass works; 1972 flood; factory smokestacks; black and white photograph,"This black and white photograph documents the 1972 Corning Glass Works facility severely flooded, with tall industrial smokestacks rising above floodwaters that have submerged the factory buildings and surrounding area."
75-1587,Floods,,flooded industrial facility; corning glass works; 1972 flood; factory smokestacks; black and white photograph,"This black and white photograph documents the 1972 Corning Glass Works facility severely flooded, with tall industrial smokestacks rising above floodwaters that have submerged the factory buildings and surrounding area."
75-1590,"City Pump House, Corning, N.Y. ",,brick building; pump house; bare trees; early 20th century; black and white photograph,"This black and white photograph shows the City Pump House in Corning, New York, a brick municipal building with a pyramidal roof and chimney, surrounded by bare trees and situated in a landscape with hills visible in the background."
75-1591,Corning Free Academy,,corning free academy; brick building; bare trees; early 20th century; black and white photograph,"A black and white photograph showing the Corning Free Academy building, a substantial brick structure with a prominent tower, flanked by bare deciduous trees along a street in Corning, NY."
75-1592,Bulb For Edison Monument,1940's,giant light bulb; edison monument; corning ny; 1940s; black and white photograph,"A massive oversized light bulb structure, likely part of the Edison Monument in Corning, New York, is photographed in the 1940s, showing its distinctive bulb shape with vertical seams and a textured base section."
75-1636,Floods,1946,,
75-1656,"Denison Park, Corning, N.Y. ",,bridge; water; trees; denison park; black and white photograph,"A black and white photograph showing a curved stone or concrete bridge spanning a body of water in Denison Park, Corning, NY, surrounded by dense foliage and trees along the waterway."
75-1658,"Denison Park, Corning, N.Y. ",,denison park; stone bridge; mature trees; black and white photograph; park landscape,"A black and white photograph of Denison Park in Corning, NY showing a stone arch bridge spanning a small stream or pond, surrounded by mature trees and landscaped grounds."
75-1700,"Denison Park, Corning, N.Y. ",,denison park; public park; fountain; early 20th century; black and white photograph,"This black and white photograph shows Denison Park in Corning, New York, featuring a central fountain surrounded by landscaped grounds, mature trees, walking paths, and visitors enjoying the park, with hills visible in the background."
75-1724,Balloonists,1900,hot air balloon; early 1900s; crowd gathering; town landscape; black and white photograph,"A hot air balloon ascends above a gathered crowd in what appears to be a Corning, NY town square or park around 1900, with spectators, horse-drawn carriages, and a fountain visible in the foreground, and hills and buildings in the background."
76-1605,Fall Brook Coal Company - Engine,,,
76-1608,"Chimney Narrows (Rock formation near Corning, N.Y.)",,chimney narrows; rock formation; river landscape; black and white photograph; corning ny,"A black and white photograph showing the distinctive rock formation known as Chimney Narrows near Corning, New York, with a river view, sandy beach, and several people standing along the shoreline beneath the towering cliff face."
76-1610,"Chimney Narrows (Rock formation near Corning, N.Y.)",,rock formation; chimney narrows; person; river landscape; black and white photograph,"A black and white photograph showing a person standing on a sloped, rocky terrain beneath a dramatic overhanging rock formation at Chimney Narrows near Corning, New York, with a river visible in the background."
76-1611,"Chimney Narrows (Rock formation near Corning, N.Y.)",,dirt path; large trees; natural landscape; black and white photograph; rural scenery,"A black and white photograph showing a dirt path lined with large trees and dense vegetation, depicting a natural landscape near Chimney Narrows, a rock formation near Corning, New York."
76-1612,"Corning, New York",,corning new york; panoramic view; residential neighborhood; hills; black and white photograph,"A black and white panoramic photograph showing the town of Corning, New York nestled in a valley surrounded by rolling hills, with residential houses, church steeples, and industrial buildings visible across the landscape."
76-1614,"Centerway Bridge, Corning, N.Y. ",1972,,
76-1615,"Delaware, Lackawanna and Western Railroad Station",,,
76-1618,Corning Glass Center Buildings,,flooded industrial complex; factory smokestacks; river flood; black and white photograph; corning glass works,"A black and white photograph showing the Corning Glass Works facility inundated by floodwaters from the adjacent river, with multiple tall industrial smokestacks visible above the flood line and factory buildings partially submerged along the waterfront."
76-1618,Corning Glass Works Floods,,flooded industrial complex; factory smokestacks; river flood; black and white photograph; corning glass works,"A black and white photograph showing the Corning Glass Works facility inundated by floodwaters from the adjacent river, with multiple tall industrial smokestacks visible above the flood line and factory buildings partially submerged along the waterfront."
76-1619,Floods,1935,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,"This black and white photograph documents the July 8th flood at Painted Post, New York, showing multiple residential and commercial buildings partially submerged in floodwater, with utility poles and railroad tracks visible in the foreground."
76-1620,Floods,1935,flood damage; rural landscape; eroded hillside; fence; black and white photograph,"This photograph shows a hillside damaged by flooding with eroded soil, scattered vegetation, and a wooden fence, captioned ""Corning and Painted Post Road—Flood July 8, 1935"" documenting flood damage from the 1935 flood event in the Corning, NY area."
76-1621,"Couthouse Park, Corning, New York",,,
76-1622,Curtiss Airplanes,,,
76-1623,"Brick, Terra Cotta & Tile Co. ",,,
76-1628,"Corning, New York",,,
76-1630,Corning Glass Center,,corning glass center; aerial view; modernist architecture; mid-century building; black and white photograph,"An aerial photograph of the Corning Glass Center in Corning, New York, showing modernist buildings with flat roofs, expansive grounds with landscaping and trees, and surrounding countryside in this mid-century architectural documentation."
76-1631,"First National Bank & Trust Co., Corning, N.Y. ",,first national bank; corning new york; historic building; black and white photograph; downtown architecture,"A black and white photograph of the First National Bank & Trust Co. building in Corning, New York, showing a multi-story Romanesque Revival structure with arched windows on the ground floor, regular rectangular windows on upper floors, and ornamental cornice detailing, with adjacent commercial buildings visible on the street."
76-1633,Dickinson House,,,
76-1635,Floods,1946,,
76-1637,Floods,1946,flooded river; steel bridge; 1946 flood; Corning NY; black and white photograph,"A black and white photograph from 1946 showing a steel truss bridge spanning a dramatically swollen river during the Corning, New York flood, with the town and church steeple visible in the background across the elevated water."
76-1638,Floods,1946,,
76-1639,Floods,1946,flooded river; 1946 flood; power lines; residential buildings; black and white photograph,"This black and white photograph documents the 1946 flood in Corning, NY, showing a swollen river with high water levels threatening nearby residential structures and utility infrastructure, with onlookers gathered along the riverbank near white-painted houses."
76-1640,Floods,1946,flooded valley; aerial view; 1946 flood; landscape; black and white photograph,"An aerial view of the Corning, NY valley during the 1946 flood, showing extensive water coverage across agricultural fields and lowlands with forested hills in the background."
76-1641,Floods,1946,flooded river; steel bridges; industrial buildings; 1946 flood; black and white photograph,"This black and white photograph documents the 1946 flood in Corning, NY, showing multiple steel truss bridges partially submerged in floodwaters with industrial buildings and smokestacks visible in the background along the riverbank."
76-1642,Floods,1946,flooded river; industrial buildings; steel bridge; 1946 flood; black and white photograph,"A black and white photograph documenting the 1946 flood in Corning, NY, showing industrial facilities with smokestacks and a steel truss bridge partially submerged in floodwaters, with forested hills visible in the background."
76-1643,Floods,1946,flooded river; steel bridge; debris; 1946 flood; black and white photograph,"A black and white photograph showing a swollen river with debris and uprooted vegetation floating in the water, a steel truss bridge spanning across, and industrial buildings visible along the riverbank during the 1946 flood in Corning, NY."
76-1644,Floods,1946,flooded industrial area; factory smokestacks; steel bridge; 1946 flood; black and white photograph,"This black and white photograph documents the 1946 flood in Corning, NY, showing an industrial facility with multiple tall smokestacks partially submerged in floodwaters, with a steel truss bridge visible on the left and mountains in the background."
76-1645,Floods,1946,flooded bridge; steel truss bridge; flood damage; 1946 flood; black and white photograph,"A steel truss bridge spanning a swollen river during the 1946 flood in Corning, NY, with water inundating the surrounding landscape and several people visible on the bridge structure observing the flood conditions."
76-1646,Floods,1946,flooded river; industrial buildings; smokestacks; 1946 flood; black and white photograph,"A black and white photograph showing industrial buildings and factories with multiple smokestacks along a swollen river during the 1946 flood in Corning, NY, with mountains visible in the background."
76-1647,Floods,1946,flooded industrial area; tall smokestack; 1946 flood; Corning NY; black and white photograph,"A black and white photograph documenting the 1946 flood in Corning, NY, showing an industrial complex with a prominent tall smokestack partially submerged in floodwaters, with various factory buildings, storage structures, and debris visible amid the inundation."
76-1650,Corning Glass Center Buildings,,industrial smokestacks; corning glass works; river view; early 20th century; black and white photograph,"This black and white photograph shows five tall industrial smokestacks of the Corning Glass Works facility along a river, with the Corning, NY valley and forested hills visible in the background, and brick factory buildings with wooden railings visible in the foreground."
76-1651,Fireman's Convention,,fireman's convention; decorated building; patriotic bunting; brick architecture; black and white photograph,"A brick building decorated with patriotic bunting and flags for a Fireman's Convention in Corning, NY, with visible signage reading ""CORNING FIRE DEPARTMENT TO FIREMEN"" on the storefront."
76-1651,"First National Bank & Trust Co., Corning, N.Y. ",,fireman's convention; decorated building; patriotic bunting; brick architecture; black and white photograph,"A brick building decorated with patriotic bunting and flags for a Fireman's Convention in Corning, NY, with visible signage reading ""CORNING FIRE DEPARTMENT TO FIREMEN"" on the storefront."
76-1652,"Denison Park, Corning, N.Y. ",,denison park; winter landscape; bare trees; snow; black and white photograph,"A winter scene of Denison Park in Corning, NY showing a snow-covered path or road lined with bare deciduous trees and what appears to be a small bridge or structure in the middle distance."
76-1653,"Corning, New York",,corning new york; panoramic cityscape; industrial smokestacks; residential neighborhoods; black and white photograph,"A black and white panoramic photograph showing an elevated view of Corning, New York with residential houses in the foreground, industrial smokestacks and factory buildings in the middle distance, and rolling hills surrounding the valley town in the background."
76-1654,"Corning, New York",,corning new york; industrial landscape; residential neighborhood; factory smokestacks; black and white photograph,"A black and white photograph showing an elevated view of Corning, New York with residential houses in the foreground, industrial factory buildings with multiple smokestacks in the middle distance, a river valley, and forested hills in the background."
76-1655,"Denison Park, Corning, N.Y. ",,denison park; pond; trees; black and white photograph; landscape,"A serene black and white photograph of Denison Park in Corning, New York, showing a calm pond surrounded by mature trees with full foliage and rolling hills visible in the background."
76-1657,"Denison Park, Corning, N.Y. ",,denison park; winter landscape; snow; bare trees; black and white photograph,"A winter scene of Denison Park in Corning, NY showing snow-covered grounds with bare deciduous trees and a curved bridge or walkway structure visible among the wooded landscape."
76-1664,"Centerway Square, Corning, N.Y. ",,,
76-1667,Corning Homes,,historic house; neoclassical architecture; columned portico; stone foundation; black and white photograph,"A grand neoclassical residential home in Corning, NY features a symmetrical facade with tall columns supporting a front portico, decorative cornices, arched stone foundation openings, and ornamental chimneys, surrounded by a picket fence and bare trees."
76-1668,Corning Homes,,victorian mansion; bare tree; wooden siding; front porch; black and white photograph,"A black and white photograph of an ornate Victorian-era residential home in Corning, NY, featuring a distinctive cupola, wraparound porch with decorative railings, columned entryway, and bare deciduous tree in the foreground."
76-1669,Corning Homes,,,
76-1671,Corning Homes,,victorian architecture; snow-covered street; bare tree; residential neighborhood; black and white photograph,"A snow-covered residential street in Corning, NY featuring a prominent Victorian-era home with a distinctive turret, wraparound porch, and decorative architectural details, with bare trees and neighboring houses visible in winter conditions."
76-1672,Board of Education Building,,board of education building; brick architecture; bare trees; early 20th century; black and white photograph,"A black and white photograph of the Board of Education Building in Corning, NY, showing a substantial brick structure with distinctive twin towers and multiple chimneys, photographed during winter with bare trees in the foreground."
76-1673,"Clocktower, Corning, N.Y. ",,clocktower; corning new york; stone tower; downtown street; black and white photograph,"A historic black and white photograph showing Corning, NY's distinctive stone clocktower standing in a downtown plaza, with Victorian-era buildings to the left and industrial factory buildings with smokestacks visible in the background."
76-1675,Corning Glass Center Buildings,,corning glass works; industrial buildings; factory complex; black and white photograph; early 20th century,"This black and white photograph shows the Corning Glass Works industrial complex with a large multi-story factory building featuring two tall smokestacks, surrounded by smaller structures, wooden fencing, and landscaping in what appears to be early 1900s Corning, New York."
76-1678,Baseball,,baseball game; baseball field; spectators; chain-link fence; black and white photograph,"A black and white photograph showing a baseball game in progress at a field in Corning, NY, with players on the diamond, spectators lining the field and seated in the background, and a chain-link fence visible in the foreground."
76-1679,Baseball,,baseball game; baseball field; early 20th century; black and white photograph; vintage sports,"A black and white photograph showing a baseball game in progress on an open field with multiple players positioned across the diamond and outfield, with spectators visible in the background along the tree line."
76-1684,"Clocktower, Corning, N.Y. ",,,
76-1684,"First National Bank & Trust Co., Corning, N.Y. ",,,
76-1685,"Clocktower, Corning, N.Y. ",,clock tower; corning new york; historic downtown; brick buildings; black and white photograph,"This historical photograph labeled ""Clock Tower, Corning, N.Y."" shows a downtown street scene featuring a prominent stone clock tower on the right, Victorian-era brick buildings with distinctive architecture, a horse-drawn wagon in the foreground, and utility poles with power lines crossing the scene."
76-1686,Corning Glass Works Patterns,,glass pattern designs; floral motifs; decorative sketches; black and white photograph; corning glass works,"This archival document shows three Corning Glass Works pattern designs featuring botanical and floral motifs, including a ""6 in vases. Holly hocks"" pattern and a ""Somerset"" pattern, with handwritten notes documenting the design details and production information."
76-1687,Corning Glass Works Patterns,,glass pattern designs; decorative motifs; botanical ornaments; geometric patterns; design sketches,"A collection of Corning Glass Works pattern design sketches showing ornamental designs including a scrolled leaf border pattern, a geometric checkerboard and radiating design, a circular floral composition with botanical elements, and partial views of additional decorative patterns featuring flowers and foliage."
76-1689,Baseball,,baseball team; corning; early 1900s; black and white photograph; uniforms,"A formal team portrait of the Corning baseball team from the early 1900s, showing approximately 13 players in uniforms with ""CORNING"" visible on their jerseys, posed in two rows against a building backdrop."
76-1692,Fires,,fire; railroad yard; smoke; industrial buildings; black and white photograph,"A large fire with heavy smoke billows across railroad tracks in what appears to be an industrial yard in Corning, NY, with firefighters and equipment visible and multi-story buildings flanking the scene."
76-1693,Fires,,fire; smoke; wooden structures; industrial building; black and white photograph,"A black and white photograph showing a major fire with dense smoke billowing from wooden structures and an industrial building in Corning, NY, with a brick building visible in the background through the smoke."
76-1694,Fires,,fire; smoke; industrial building; firefighting; early 20th century; black and white photograph,"A massive fire engulfs an industrial building in Corning, NY, with firefighters and spectators gathered below as heavy smoke billows from the structure, with a steam-powered fire engine visible in the foreground and utility poles framing the scene."
76-1695,Fires,,railroad fire; firefighting; industrial building; water streams; black and white photograph,"Firefighters battle a major fire at a railroad facility in Corning, NY, directing multiple water streams at burning structures and boxcars along the tracks while smoke billows into the sky."
76-1696,Fires,,fire; building fire; smoke; industrial building; black and white photograph,"A large industrial or commercial building engulfed in heavy smoke and flames, with a tall chimney visible in the background and wooden structures in the foreground, documenting a major fire in Corning, NY."
76-1697,Fires,,fire; industrial building; steam and smoke; railroad tracks; black and white photograph,"A black and white photograph showing a major fire at an industrial structure in Corning, NY, with heavy smoke and steam billowing from the building, railroad tracks visible in the foreground, and what appears to be firefighting or emergency response equipment on the tracks."
76-1698,Fires,,fire; firefighting; industrial building; steam and smoke; early 20th century; black and white photograph,"A large industrial fire in Corning, NY with firefighters operating a steam-powered fire engine and water streams directed at a burning building engulfed in heavy smoke, while crowds of onlookers gather along railroad tracks to observe the emergency response."
76-1699,Fires,,firefighting; water stream; wooden structure; ladder; black and white photograph,"A firefighter directs a powerful water stream from a hose onto a burning wooden building during fire suppression efforts, with a ladder visible on the left side of the frame."
76-1701,Food-Mart,,food-mart; grocery store interior; meat counter; mid-century retail; black and white photograph,"Interior view of a Food-Mart grocery store showing staff behind a meat display counter with packaged products, promotional signage including ""Star Beef"" visible above, and store employees in white aprons working at the counter."
76-1702,Country Club,,country club; neoclassical architecture; white columns; black and white photograph; corning ny,"This black and white photograph shows the Country Club in Corning, N.Y., a neoclassical building with prominent white columns, a triangular pediment, and manicured grounds with trees and landscaping."
76-1703,Fires,,railroad fire; firefighting; freight cars; water spray; black and white photograph,"A black and white photograph documenting firefighters spraying water on a burning railroad freight car at what appears to be a rail yard in Corning, NY, with heavy smoke billowing from the structure and railroad workers visible in the scene."
76-1704,Fires,,railroad fire; steam locomotive; industrial disaster; black and white photograph; early 20th century,"A black and white photograph documenting a major railroad fire in Corning, NY, showing a steam locomotive engulfed in heavy smoke and flames on railroad tracks with utility poles visible in the background."
76-1714,Joseph Costa,,portrait; man; residential building; mid-20th century; black and white photograph,"A black and white photograph showing Joseph Costa standing in front of a house with horizontal siding, wearing a dark jacket with a white collar and dark trousers, smiling at the camera."
76-1715,Joseph Costa,,two men; porch; early 20th century; black and white photograph; formal attire,"A black and white photograph showing two men standing on a residential porch with white railings and a large support column, with the man on the left wearing a fedora and formal suit jacket and the man on the right in casual work clothes, likely from the early 1900s in Corning, NY."
76-1718,Circus Parades (see parades),,market street; corning ny; downtown street; black and white photograph; early 20th century,"A black and white photograph labeled ""Market Street, Looking West, Corning, N.Y."" showing a wide downtown street lined with multi-story commercial buildings and a few pedestrians and cyclists, typical of early 20th-century American urban streetscapes."
76-1719,Circus Parades (see parades),,circus parade; horse-drawn carriage; elephants; downtown corning; black and white photograph,"A circus parade in downtown Corning, NY features ornately decorated horse-drawn wagons and elephants walking down a street lined with historic buildings and spectators."
76-1720,Advertisements,,movie theater marquee; vintage film advertisements; harrison j. wolfe; black and white photograph; early cinema,"A vintage movie theater marquee displaying promotional advertisements for films including ""Harrison J. Wolfe"" and ""The Players,"" with price signage showing 20¢, 30¢, and 50¢ admission rates, and film stills visible on the display boards."
76-1725,"Clocktower, Corning, N.Y. ",,clocktower; horse-drawn carriage; downtown corning; late 19th century; black and white photograph,"A horse-drawn carriage with passengers travels down a street in Corning, New York, with a prominent clocktower visible in the background among Victorian-era brick buildings."
76-1729,Bicycles,,bicycle; woman; indoor; vintage; black and white photograph,"A black and white photograph showing a woman posing with a bicycle indoors against a wall with louvered vents, likely from the mid-20th century."
76-1730,Baseball,,baseball game; open field; spectators; mountains; black and white photograph,"A baseball game in progress on an open field with mountains visible in the background, spectators gathered along the sidelines, and residential buildings visible in the distance in what appears to be early-to-mid 20th century Corning, NY."
76-1731,"First National Bank & Trust Co., Corning, N.Y. ",,downtown corning; brick buildings; early 20th century; main street; black and white photograph,"A black and white photograph of a downtown Corning, New York street lined with multi-story brick commercial buildings, including the First National Bank & Trust Co., with utility poles, bare trees, and period automobiles visible in the distance."
76-1733,"Centerway Bridge, Corning, N.Y. ",1972,clocktower; downtown corning; historic architecture; black and white photograph; 1972,"This 1972 photograph shows Corning, New York's downtown area featuring a prominent clocktower monument in the center, Victorian-era buildings on the left, and the Centerway Bridge visible on the right, with mountains in the background."
76-1733,"Clocktower, Corning, N.Y. ",,clocktower; downtown corning; historic architecture; black and white photograph; 1972,"This 1972 photograph shows Corning, New York's downtown area featuring a prominent clocktower monument in the center, Victorian-era buildings on the left, and the Centerway Bridge visible on the right, with mountains in the background."
76-1736,Corning Glass Center Buildings,,industrial complex; brick buildings; factory chimneys; black and white photograph; early 20th century,"A black and white photograph showing an industrial glass manufacturing facility in Corning, NY, with multiple tall brick chimneys, multi-story brick buildings, and various industrial structures, with visible text referencing ""Henry Clay"" and ""Soft Coal Kiln"" on a building in the lower right corner."
76-1739,Food-Mart,,food-mart; grocery store interior; mid-century retail; product displays; black and white photograph,"Interior view of a Food-Mart grocery store showing multiple product display cases, shelving units stocked with packaged goods and canned items, a checkout counter with staff, and promotional displays including what appears to be Chiffon soap products in the foreground."
76-1740,"Clocktower, Corning, N.Y. ",,clocktower; corning new york; downtown square; industrial buildings; black and white photograph,"A black and white photograph showing Corning, NY's distinctive stone clocktower dominating a downtown plaza, with industrial factory buildings featuring tall smokestacks visible to the left and utility poles crossing the scene."
76-1742,"City Hall, Corning, N.Y. ",,city hall; corning new york; victorian architecture; stone building; historic photograph,"This black and white photograph shows Corning, New York's City Hall, a distinctive Victorian-era stone building featuring multiple turrets with pointed roofs, arched windows, and ornamental detailing, photographed from a street-level corner view."
76-1743,"Couthouse Park, Corning, New York",,courthouse; neoclassical architecture; american flag; landscaped grounds; black and white photograph,"A black and white photograph of the Steuben County Courthouse in Corning, New York, situated in Courthouse Park, showing a grand neoclassical building with columns, a pediment, and an American flag flying from its roof, surrounded by manicured landscaping and flowering shrubs."
76-1744,"City Hall, Corning, N.Y. ",,city hall; corning new york; victorian architecture; brick building; black and white photograph,"This black and white photograph shows the City Hall of Corning, N.Y., a prominent Victorian-era brick building featuring multiple conical towers, arched windows, and ornamental architectural details, as identified by the text caption in the upper left corner of the image."
76-1750,"Eggington's Glass Cutting Shop, Corning, N.Y. ",,brick industrial building; glass cutting shop; early 20th century; corning new york; black and white photograph,"This black and white photograph shows Eggington's Glass Cutting Shop in Corning, N.Y., a multi-story brick industrial building with numerous large windows, an office entrance, and a smokestack visible on the left side, representing the glass manufacturing heritage of the region."
76-1751,"Corning, New York",,corning new york; industrial landscape; factory buildings; black and white photograph; hillside valley,"A black and white historical photograph showing Corning, New York's industrial skyline with multiple factory buildings and smokestacks nestled in a valley surrounded by forested hills and mountains."
76-1752,Corning Glass Center Buildings,,industrial complex; factory chimneys; brick buildings; black and white photograph; early 20th century,"A black and white photograph showing an industrial glass manufacturing facility in Corning, NY, featuring multiple tall brick chimneys, multi-story brick buildings, and various industrial structures, with visible text referencing ""Celebrated Henry Clay Coal"" and soft coal kiln operations."
76-1753,Corning Glass Center Buildings,,corning glass works; industrial facility; arch bridge; factory smokestacks; black and white photograph,"This black and white photograph shows the Corning Glass Works facility in Corning, New York, featuring multiple industrial buildings with tall smokestacks, a distinctive arch bridge crossing a river in the foreground, and rolling hills in the background."
76-1755,Corning Homes,,victorian house; wooden siding; front porch; bare trees; black and white photograph,"A black and white photograph of a Victorian-era residential home in Corning, NY featuring wooden siding, a wraparound front porch with decorative railings, second-story balcony, and mature trees in the yard, representative of late 19th-century domestic architecture."
76-1756,A. B. Holmes,,,
76-1758,Drake Home,,stone castle; crenellated towers; historic architecture; black and white photograph; overgrown grounds,"A black and white photograph of the Drake Home in Corning, NY, showing a distinctive stone castle-like structure with multiple crenellated towers, arched windows, and surrounding overgrown vegetation."
76-1759,Corning Glass Works Glass Blower,,horse-drawn wagon; winter landscape; snow; rural scene; black and white photograph,"A black and white photograph showing two people in a horse-drawn wagon traveling through a snowy winter landscape with bare trees and industrial buildings visible in the distant background, likely depicting a scene from Corning, NY."
75-0015,,,portrait photograph; circular frame; male; early 20th century; black and white,"A black and white portrait photograph of a man in profile within a circular frame, numbered ""5"" and captioned with partial text reading ""of Their Fellow Towns-"", suggesting this is part of a larger publication or collection of local notable figures from Corning, NY."
75-0017,,,portrait photograph; sailor uniform; early 20th century; black and white; oval vignette,"A black and white portrait photograph of a person in a dark sailor uniform with white collar trim and a sailor hat, posed formally against a plain background with an oval vignette border and the number ""3"" visible in the lower right corner."
75-0018,,,portrait photograph; man; formal attire; early 20th century; black and white,"A formal black and white portrait photograph of a man wearing a suit and white collar, numbered ""4"" at the bottom left, appearing to be from an early 20th-century publication or directory."
75-0019,,,world war i; military portrait; soldier; corning; 1918,"A black and white portrait photograph of a soldier in World War I military uniform wearing a campaign hat, with text at the top reading ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Corning resident's service during the First World War."
75-0020,,,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and white dress shirt, shown in profile against a plain background, typical of early 20th-century formal portraiture."
75-0023,,,portrait; sailor uniform; naval service; black and white photograph; vintage,"A black and white portrait photograph of a man wearing a World War-era sailor uniform with a white cap and dark neckerchief, with partial text visible at the top of the image that appears to reference ""WO"" and ""WA."""
